ID,SEX_FEMALE,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month,avg_bill_amt,avg_pay_amt,credit_utilization,payment_ratio_1,payment_ratio_2,payment_ratio_3,payment_ratio_4,payment_ratio_5,payment_ratio_6,avg_payment_ratio,bill_to_limit_ratio,max_delay,delay_count
1,1,0,1,0,0,1,0,0,20000,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0,0.0,0.0,0.0,1,1284.0,114.83333333333333,0.0641999999679,0.0,0.22211476466795615,0.0,0.0,0.0,0.0,0.03701912744465936,0.195649999902175,2,2
2,1,0,1,0,0,0,1,0,120000,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000,1000.0,0.0,2000.0,1,2846.1666666666665,833.3333333333334,0.02371805555357905,0.0,0.5797101449275363,0.37285607755406414,0.3056234718826406,0.0,0.613308800981294,0.3119164158909225,0.0223499999981375,2,2
3,1,0,1,0,0,0,1,0,90000,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000,1000.0,1000.0,5000.0,0,16942.166666666668,1836.3333333333333,0.18824629627538006,0.05191696022435788,0.10693662222855921,0.0737517516041006,0.06977880120019538,0.0668985817500669,0.32156408772268313,0.11514113412166051,0.32487777774168025,0,0
4,1,0,1,0,0,1,0,0,50000,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200,1100.0,1069.0,1000.0,0,38555.666666666664,1398.0,0.7711133331791106,0.04256224728665674,0.04185930794269484,0.024345215150838897,0.03885003885003885,0.03691425808902241,0.0338443835245541,0.03639590847396764,0.93979999981204,0,0
5,0,0,1,0,0,1,0,0,50000,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000,9000.0,689.0,679.0,0,18223.166666666668,9841.5,0.36446333326044067,0.23209933851688522,5.0,0.27905678805636946,0.4297994269340974,0.03598662906090045,0.03549213318697402,1.0020723859592044,0.17233999996553198,0,0
6,0,1,0,0,0,0,1,0,50000,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657,1000.0,1000.0,800.0,0,39685.666666666664,1295.3333333333333,0.7937133331745906,0.03881987577639751,0.03180360616096305,0.011404666018608527,0.051562338867691036,0.05097099750242112,0.03995205753096284,0.03741892364284068,1.2879999997423999,0,0
7,0,1,0,0,0,0,1,0,500000,29,0,0,0,0,0,0,350110.6799999999,337495.28,325030.38999999897,304997.27,285868.33,279505.05999999965,55000.0,40000.0,38000,20239.0,13750.0,13770.0,0,313834.5016666664,30126.5,0.6276690033207795,0.1570931797910307,0.11852017604512868,0.11691214473822008,0.06635797100741261,0.048099067147452115,0.04926565551264087,0.09270803237364751,0.7002213599859953,0,0
8,1,0,1,0,0,0,1,0,100000,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0,581.0,1687.0,1542.0,0,2247.6666666666665,798.5,0.022476666664419,0.03199730549006399,1.581578947368421,0.0,2.6289592760180995,5.0,2.7195767195767195,1.9936853747422172,0.11875999998812399,0,0
9,1,0,0,1,0,1,0,0,140000,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432,1000.0,1000.0,1000.0,0,10868.666666666666,1126.8333333333333,0.0776333333277881,0.29499335400974747,0.0,0.035678889990089196,0.08189337482597658,0.08479606546256253,0.26888948642108096,0.12770852845157613,0.0806071428513852,2,1
10,0,0,0,1,0,0,1,0,20000,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0,13007.0,1122.0,0.0,0,4486.5,2354.8333333333335,0.2243249998878375,0.0,0.0,0.0,5.0,0.08626124394556776,0.0,0.8477102073242614,0.0,-1,0
11,1,0,0,1,0,0,1,0,200000,34,0,0,2,0,0,-1,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,12.0,50,300.0,3738.0,66.0,0,5744.5,1078.6666666666667,0.028722499998563876,0.20825431229115868,0.0012261162766935732,0.009033423667570008,0.1193792280143255,2.0448577680525166,0.01768962744572501,0.40007341262466495,0.055364999997231754,2,1
12,1,1,0,0,0,0,1,0,260000,51,-1,-1,-1,-1,-1,2,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,21818.0,9966.0,8583,22301.0,0.0,3640.0,0,14728.166666666666,11051.333333333334,0.05664679486961615,1.7794633390424925,0.45989847715736043,0.8612281757977123,2.618410238346836,0.0,0.2663154814164472,0.9975526186268079,0.04715769230587855,2,1
13,1,0,1,0,0,0,1,0,500000,41,-1,0,-1,-1,-1,-1,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,6500.0,6500,6500.0,2870.0,0.0,0,6834.5,3895.0,0.01366899999972662,0.08239268352970257,1.0,1.0,1.0,0.44153846153846155,0.0,0.5873218575113607,0.02427399999951452,0,0
14,0,0,1,0,0,0,1,0,70000,30,1,2,2,0,0,2,65802.0,67369.0,65701.0,66782.0,36137.0,36894.0,3200.0,0.0,3000,3000.0,1500.0,0.0,1,56447.5,1783.3333333333333,0.8063928570276582,0.04863074070696939,0.0,0.04566140545806,0.04492228444790512,0.041508702991393864,0.0,0.030120522267388067,0.9400285712942816,2,4
15,0,1,0,0,0,0,1,0,250000,29,0,0,0,0,0,0,70887.0,67060.0,63561.0,59696.0,56875.0,55512.0,3000.0,3000.0,3000,3000.0,3000.0,3000.0,0,62265.166666666664,3000.0,0.24906066665670423,0.04232087688856913,0.044736057262153295,0.04719875395289564,0.05025462342535513,0.05274725274725275,0.054042369217466496,0.048549988915615405,0.2835479999886581,0,0
16,1,0,0,1,0,0,0,1,50000,23,1,2,0,0,0,0,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0,0.0,1500.0,1100,1200.0,1300.0,1100.0,0,32736.0,1033.3333333333333,0.6547199998690559,0.0,0.05141740650601584,0.03912363067292645,0.041708664975148586,0.0440215366902577,0.036410578928204956,0.03544696962875892,1.012279999797544,2,2
17,0,1,0,0,0,0,1,0,20000,24,0,0,2,2,2,2,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0,3200.0,0.0,1500,0.0,1650.0,0.0,1,17693.5,1058.3333333333333,0.8846749995576625,0.2081165452653486,0.0,0.08606839568510442,0.0,0.09215302987992181,0.0,0.06438966180506246,0.7687999996156,2,4
18,0,1,0,0,0,1,0,0,320000,49,0,0,0,-1,-1,-1,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0,10358.0,10000.0,70000,20000.0,65607.55999999991,50000.0,0,161002.33333333334,37660.92666666665,0.5031322916509438,0.04089448291654493,0.04056202745238018,0.3595958143047215,0.2854125638610612,5.0,0.25562502875781573,0.9970149862154206,0.791518749975265,0,0
19,1,1,0,0,0,1,0,0,360000,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
