ID,SEX_FEMALE,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,avg_bill_amt,avg_pay_amt,credit_utilization,payment_ratio_1,payment_ratio_2,payment_ratio_3,payment_ratio_4,payment_ratio_5,payment_ratio_6,avg_payment_ratio,bill_to_limit_ratio,max_delay,delay_count,default payment next month
1,1,0,1,0,0,1,0,0,-1.1506780766767153,-1.2592807639642762,2,2,-1,-1,-2,-2,-0.6710986854513434,-0.6777896493938682,-0.7068177950281674,-0.7079255835760618,-0.6994962572455568,-0.6894285762074919,-0.5333083158273113,-0.42543805000780477,-0.4764979052621887,-0.4579610496171211,-0.4634209238197951,-0.41251063673404426,-0.7250291796537633,-0.7369318992170524,-0.8805255293293188,-0.4506254169054395,-0.2800024580628221,-0.432646435477181,-0.42069812571613385,-0.4314769520080436,-0.4365231966569009,-0.733470957988912,-0.5556048589210374,2,2,1
2,1,0,1,0,0,0,1,0,-0.36688364109744304,-1.0392646148797675,-1,2,0,0,0,2,-0.6888608321311439,-0.6984024585106873,-0.675847569406504,-0.6534368695580437,-0.6384380122167634,-0.6305757053294236,-0.5333083158273113,-0.3953653984336342,-0.3718983207598655,-0.3501153520651319,-0.4634209238197951,-0.23134233345067495,-0.6986449117758576,-0.6192038333437306,-0.9964030977802181,-0.4506254169054395,-0.0033187729335796634,-0.13857693781361194,-0.17800985831589006,-0.4314769520080436,0.03641277122637941,-0.344717856056955,-0.9803019769256976,2,2,1
3,1,0,1,0,0,0,1,0,-0.6020219717712247,-0.15920001854173257,0,0,0,0,0,0,-0.30566885051013604,-0.5142493882455396,-0.5068244163273103,-0.4692710112679269,-0.43532877629319683,-0.4088081256453691,-0.37234756368929145,-0.3470170840057073,-0.3718983207598655,-0.3501153520651319,-0.35308558505172066,0.04041012147437899,-0.46057003286390247,-0.45485971355118837,-0.5254491267648828,-0.40887633228030845,-0.369119696863111,-0.3744788425327388,-0.3652884536113542,-0.37853598861371457,-0.1885580234516502,-0.6229927041054802,-0.23891319795753538,0,0,0
4,1,0,1,0,0,1,0,0,-0.9155397460029336,0.17082420508503052,0,0,0,0,0,0,-0.04953898396818808,-0.0022074502281731996,0.04843303571146398,-0.23641169338469126,-0.18772036208236492,-0.15617933492129724,-0.32123881366918233,-0.29683153362951914,-0.3509784038594008,-0.33933078230993297,-0.3454724466767235,-0.3219264850923596,-0.09552807802823689,-0.5266817532744164,1.1429790069067638,-0.41639893569145076,-0.4194722241297002,-0.41344550079781905,-0.38984824184147976,-0.4022644285868308,-0.41042504470801644,-0.7343522991960539,1.2680440764505132,0,0,0
5,0,0,1,0,0,1,0,0,-0.9155397460029336,2.3709856959301177,-1,0,-1,0,0,0,-0.6032244872533082,-0.6393483321738308,-0.1606664906132239,-0.35921113628471124,-0.3611399159079943,-0.3441620098878591,-0.32123881366918233,3.054867015772086,0.5694979397610437,0.5126502283507814,-0.3873998754085918,-0.3510039977693404,-0.4389345391148804,0.856807354869483,-0.021036553187331636,-0.2639824608597935,3.416809545147758,-0.21255591148284803,-0.07940471127475952,-0.4029985185052807,-0.4091544285352515,0.6312840379499074,-0.6127294394130335,0,0,0
6,0,1,0,0,0,0,1,0,-0.9155397460029336,0.17082420508503052,0,0,0,0,0,0,0.20167058036595162,0.1300618172781546,0.17767506606539005,-0.38495672059762565,-0.35278085660303937,-0.32804559967807223,-0.2682214381296501,-0.31655764591611335,-0.40777597824416234,-0.3501153520651319,-0.35308558505172066,-0.34004331542069655,-0.07644290399514173,-0.5435039496506554,1.2076703917785863,-0.4194083681429136,-0.42725266196284734,-0.42365163933730393,-0.3797537093536714,-0.3911404659068952,-0.4057152823287471,-0.7329055758672403,2.1213593478961736,0,0,0
7,0,1,0,0,0,0,1,0,2.6115352141037915,-0.7092403912530044,0,0,0,0,0,0,4.3242010483964375,4.327863836871226,4.333285580156928,4.37120309041729,4.352491742497415,4.354936712337948,5.298602993521234,3.375803126944665,3.498286305826095,1.7247280231375879,1.0536899842412288,0.8348331313719534,4.553803314540508,4.1805565771942295,0.7323766904288054,-0.32429875161563276,-0.36015710804405293,-0.34043848247967695,-0.3680048528049203,-0.3934132010802881,-0.3985333611352259,-0.6547170544611588,0.6809214109805799,0,0,0
8,1,0,1,0,0,0,1,0,-0.5236425282132975,-1.3692888385065305,0,-1,-1,0,0,-1,-0.5562002500238447,-0.7185362480982846,-0.7081852711218486,-0.7042452639556517,-0.7023061735869687,-0.6791956483363282,-0.49301511041726676,-0.43394735334711987,-0.4764979052621887,-0.39530269933941536,-0.27728520731805345,-0.27282987490256655,-0.7087532981995811,-0.6249113642570975,-0.9999565122235949,-0.4248947460628483,0.77186113032508,-0.432646435477181,1.6668953690911976,3.525330652084104,1.6606025025796916,2.0335991625706122,-0.7440351034966766,0,0,0
9,1,0,0,1,0,1,0,0,-0.2101247539815886,-0.8192484657952588,0,0,2,0,0,0,-0.5647278119147968,-0.5132165023856554,-0.5293722323719836,-0.5045754347759337,-0.49108529237593,-0.6223099540684132,-0.18031862948510569,-0.492062027289488,-0.4313108847571851,-0.3501153520651319,-0.35308558505172066,-0.3219264850923596,-0.5631486209081533,-0.5711131063655541,-0.8420732754058756,-0.21340616433013118,-0.4518601916983453,-0.40450669500303543,-0.35566856131243246,-0.364372608684171,-0.22917657239401068,-0.6052201987578627,-0.8375342868699536,2,1,0
10,0,0,0,1,0,0,1,0,-1.1506780766767153,-0.0491919439994782,-2,-2,-2,-2,-1,-1,-0.7275595140119114,-0.7242246050077917,-0.7175245112616477,-0.7079255835760618,-0.4696309625742064,-0.43835186978133894,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,0.9447879384416021,-0.33962467372201555,-0.41251063673404426,-0.6709404452812082,-0.36990216009911137,-0.4221756178473302,-0.4506254169054395,-0.4518601916983453,-0.432646435477181,3.5496819289518546,-0.3632131228115895,-0.4365231966569009,0.4129887753648073,-1.035073936486397,-1,0,0
11,1,0,0,1,0,0,1,0,0.2601519073659747,-0.15920001854173257,0,0,2,0,0,-1,-0.5677867681261027,-0.5777194758674081,-0.6315133728693211,-0.6660765192951084,-0.66719105553423,-0.6220933841663779,-0.28879217983898864,-0.49090166774321775,-0.47126792603707257,-0.4256073403515243,-0.05098742750473273,-0.4065320827256931,-0.6496934108266652,-0.5790053381070037,-0.9820781224826555,-0.28315746674388736,-0.45091150391164553,-0.42552182488338075,-0.3259019445461859,1.1867448011753754,-0.4228823340699742,-0.22004836174891224,-0.899393867529833,2,1,0
12,1,1,0,0,0,0,1,0,0.730428568713538,1.7109372486765917,-1,-1,-1,-1,-1,2,-0.5506450701118031,-0.39983856756300634,-0.5626578436522661,-0.56609172743564,-0.30563081384274393,-0.44275545778938824,1.7801578832157172,0.47161657588795114,0.4212803285212517,1.9471058514897892,-0.4634209238197951,-0.08278432475831213,-0.497963462341135,1.0550416462576626,-0.9021462062375762,0.9803321200527468,-0.09602112757828744,0.24659939763874122,1.6585186313380125,-0.4314769520080436,-0.2311614445273555,0.6248922922167611,-0.9195070811768341,2,1,0
13,1,0,1,0,0,0,1,0,2.6115352141037915,0.6108565032540479,-1,0,-1,-1,-1,-1,-0.5524342709146425,-0.6269237631346444,-0.6165177543420229,-0.5996808888581163,-0.5846254634142523,-0.6376322746374042,-0.4272735647482468,0.13646606027356178,0.20339939400291238,0.24303598447080857,-0.14675850155542136,-0.41251063673404426,-0.6312838181752725,-0.11754190569517593,-1.0251680234688292,-0.38436924354112656,0.3218737556708754,0.3560479572565112,0.37337788521746385,-0.08206040358513698,-0.4365231966569009,0.04475386381348261,-0.9755869321704855,0,0,0
14,0,0,1,0,0,0,1,0,-0.7587808588870791,-0.5992323167107501,1,2,2,0,0,2,0.22190009266902247,0.28424622824637286,0.3034362481808552,0.4041970629860668,-0.060867660832964354,-0.023584412400240194,-0.193997112374305,-0.492062027289488,-0.16269915175521898,-0.13442395696115356,-0.2979179156676834,-0.41251063673404426,0.20665665908486022,-0.46354389934281826,1.2439649031827587,-0.4115189495702137,-0.4518601916983453,-0.3966335410280695,-0.385026417279717,-0.3986285616815736,-0.4365231966569009,-0.7432267987133736,1.2686042244587061,2,4,1
15,0,1,0,0,0,0,1,0,0.6520491251556109,-0.7092403912530044,0,0,0,0,0,0,0.29527175462416894,0.27962069591732636,0.2701817159027018,0.28619369271354955,0.30562318877835765,0.3124237906073874,-0.2152040625901179,-0.20197214072192657,-0.16269915175521898,-0.13442395696115356,-0.1324149075155717,-0.1407581818089903,0.30491434120863886,-0.2641899487802461,-0.351370992213439,-0.4165930339809541,-0.41724638552316395,-0.39542104289051505,-0.38079213481555774,-0.38973480585498355,-0.39484993165291854,-0.7171642923607492,-0.34019789218258534,0,0,0
16,1,0,0,1,0,0,0,1,-0.9155397460029336,-1.3692888385065305,1,2,0,0,0,0,0.0027518523986655814,-0.28752345732081785,-0.2806158993305445,-0.22880125869452184,-0.17761173222521012,-0.14419580034201562,-0.5333083158273113,-0.3470170840057073,-0.36143836230963317,-0.32854621255473404,-0.3199849834212983,-0.31286806992819116,-0.19381953922110065,-0.586433320922486,0.8098088333146852,-0.4506254169054395,-0.41207679879895776,-0.40178984734206,-0.387578275411302,-0.396640001784077,-0.40844619473054766,-0.7356942655781296,1.4456669681058305,2,2,0
17,0,1,0,0,0,0,1,0,-1.1506780766767153,-1.2592807639642762,0,0,2,2,2,2,-0.5056986144598303,-0.45462642621773247,-0.4467020867085368,-0.40254232023180264,-0.3830714013148634,-0.3446492921674383,-0.193997112374305,-0.492062027289488,-0.31959852850870385,-0.4579610496171211,-0.28136761485247225,-0.41251063673404426,-0.44788036257759084,-0.5823370068698304,1.4680436736257765,-0.2832682522597234,-0.4518601916983453,-0.36476477440875443,-0.42069812571613385,-0.35855059013424245,-0.4365231966569009,-0.6947642097547553,0.8489834457382309,2,4,1
